channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15
384,16772,11490,8242,15779,11522,15107,16564,16788,40505,9378,22677,14099,23589,29287,480
352,13347,11842,15523,17172,10178,15075,17604,16355,37673,9458,24790,16131,33864,34296,512
384,16339,12050,16772,18068,12178,15203,18308,17572,34744,9282,25302,16339,28614,30471,416
400,12835,12034,16772,18724,14371,15235,19508,18644,31495,10034,21637,12323,27190,28566,320
400,19220,12066,6625,18596,13571,15123,20228,18692,26150,7953,22725,17940,40041,34088,320
400,20885,11922,11106,18740,14819,15027,21781,18356,24902,10290,21093,26262,38761,38857,480
352,20773,12034,13459,18916,17476,15123,22949,19972,23237,9778,22485,29367,47419,38185,416
336,20292,12034,8450,18308,18964,15043,23301,22133,20949,10962,26166,51900,55997,52796,304
352,19508,12002,11522,18596,18036,15155,23877,23845,19572,11218,25430,33928,50908,55341,352
384,19556,11954,18804,18612,20565,15235,24405,24293,19076,10082,26854,48059,55933,55197,336
400,20132,11794,18788,18068,23429,15171,24838,24998,18900,8866,28326,36056,56125,54925,304
400,19348,12643,19988,18068,23461,15123,24838,24790,18932,9042,28614,30823,56237,55149,400
384,19796,12691,20340,17556,23909,15107,25014,25046,18900,9090,28342,26566,53549,52188,288
400,19908,12691,19892,18068,23461,15267,25046,25334,18884,9618,27990,24533,42474,50892,320
384,19876,12643,20693,17620,23013,15139,25462,25382,18916,9650,26838,22965,54717,54845,528
400,19972,12723,20244,17332,22341,15139,24998,25222,18996,9570,35544,25878,48187,52780,304
336,20020,13011,21285,17332,22997,15155,25030,25494,19044,9666,36712,31575,56077,55213,400
352,20036,13107,21333,17572,22629,15123,25238,25350,19124,9778,33064,27190,52572,51692,416
400,19652,12947,22069,18356,20885,15171,25030,24950,18996,9986,28887,24565,53389,46379,448
416,19220,12899,21717,18004,21237,15107,24982,25030,19140,9986,28374,24790,47291,46027,320
352,19204,13011,21653,18308,20965,15235,25270,25222,19284,9682,32231,41050,56029,52300,416
384,18564,12915,21685,18372,22245,15235,25254,25158,19204,9954,33128,50956,55821,55149,336
384,18676,13075,21253,18484,22597,15267,25190,25462,19044,9554,35656,31047,51356,54813,432
400,18740,13235,21573,18340,22677,15219,22853,23493,512,9746,36520,24726,36120,40217,320
320,14019,13507,13331,16099,20533,14995,22741,22693,20420,10210,43034,21605,44474,43930,464
384,17220,13603,12194,16420,20452,15267,22869,22949,20597,9762,37913,20372,34872,43850,288
400,18180,13699,15059,17412,20901,15011,22245,22725,22533,10114,41930,19588,36584,41130,352
384,16083,13667,16548,18500,20533,14787,22181,22405,23061,9650,43242,24934,34408,47211,320
