channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15
400,12947,10882,6513,11314,8177,10066,7649,10018,37129,8081,13971,9554,9234,15635,320
352,11458,11362,7953,13059,9042,10594,9442,10786,33976,8898,21029,7489,13155,16083,336
400,11218,12066,6289,13987,10258,10642,11186,11586,30215,9122,21957,6961,16323,22549,336
320,14035,13395,7745,14819,11810,11554,11794,13715,25638,9042,24678,7969,20420,23637,384
416,17860,13987,8177,17044,11778,12451,12162,15251,23445,8946,32455,11362,25254,23941,400
400,16836,14467,9298,16355,12867,13859,12675,16676,22981,7089,37977,12371,32936,26982,336
384,23525,14515,8386,16163,12755,14643,13507,17316,20949,10114,55789,16692,52924,46139,304
400,25446,14739,10674,14291,12851,14675,14867,18468,464,10274,55869,18820,55693,52044,480
400,27446,14771,10578,16179,12883,14723,15587,19028,480,10706,55981,14915,51564,45034,416
352,28967,14787,11058,17412,11570,14819,15523,19108,480,10962,50460,15571,36232,37561,352
400,27990,14803,9474,17796,13491,14803,16820,18964,480,11282,49916,16131,30263,35304,480
352,27910,14771,12435,18500,14419,14995,17460,19044,480,11314,48171,17268,33208,40537,304
336,7569,14883,9922,17348,16195,15027,18484,19716,16131,11442,38953,15283,32439,37145,160
352,29783,14355,11154,18404,17364,14883,19300,20052,15667,11330,34888,17204,27718,40169,416
416,27750,14611,14803,18692,17716,14915,19940,20132,15267,11394,39449,21445,31463,50508,320
416,26838,14531,13331,18228,18196,14883,20324,19764,15155,11602,42794,24870,27030,43018,320
400,25190,14435,15907,18708,18660,15059,20661,20629,15171,11442,45595,17588,27334,40521,352
400,23909,14483,12419,19028,17876,15139,20501,20372,15363,11586,50412,19012,31351,49628,336
400,24678,14371,15523,17684,18948,14947,20821,21909,15331,11522,47035,20324,29911,44314,304
320,19876,14371,16692,15075,19908,14995,21317,21189,15363,11666,42730,24790,29319,54717,432
400,21877,14403,15891,16404,18772,14979,21253,22229,15235,11410,40713,26774,36856,54909,336
400,21797,14515,15299,15747,20052,14995,21461,22565,14931,11538,34568,23349,30087,49740,304
416,21509,14451,15379,15891,20036,15187,21253,22277,14995,11538,40633,27398,27158,45211,496
416,20677,14659,15107,15827,20180,14995,21381,22885,15011,11410,52076,41258,32615,50508,384
400,20757,14611,16371,16820,19092,15075,21381,22597,14835,11474,46347,39305,32215,54893,480
400,20420,14691,16067,17636,20949,14947,21349,23221,14835,11410,41658,56253,54045,55437,512
400,20869,14515,16355,16291,21893,14803,21781,23925,14931,11522,40329,49564,55613,55181,320
384,19524,14515,16964,16916,22181,14771,22325,24069,14931,11570,40986,45611,56109,55245,448
416,19668,14419,16932,17412,22309,14883,22645,24373,14819,11458,41658,43322,56285,55133,352
400,19636,14467,17540,15795,22261,14947,23141,24229,14947,11138,41130,40953,56221,54925,352
400,19812,14403,18020,16179,22725,14979,23173,24886,14867,11026,35976,34248,55949,55149,336
400,19924,14483,18340,16404,22933,15011,23461,24758,14931,11266,33192,37017,55117,55021,416
400,19988,14643,18564,15667,22373,15011,23445,25126,15011,11058,37033,39081,53997,54797,432
384,20004,14627,18436,16259,22821,15059,23525,25142,15011,11314,32615,33320,44730,54989,512
400,19540,14531,18388,17108,22693,15059,23573,25046,15155,11218,30679,38585,38537,55117,352
416,19860,14515,18628,17092,22709,15139,23429,24934,15043,11234,27318,38409,37833,52092,384
304,19860,14723,18740,17572,22613,15043,23509,24950,14995,11410,30439,36905,37561,55117,336
400,19300,14611,18708,17492,22709,15155,23429,24966,15107,11314,31175,36664,36889,55085,320
352,19300,14563,18724,17364,22853,15043,23477,25046,14947,11170,33816,38473,38921,54893,368
384,19364,14643,18516,16852,22517,15171,23573,24934,14979,11330,33848,42890,37785,55005,336
384,19892,14531,18596,16339,22485,15043,23573,24982,15027,11346,37129,34904,35256,50188,480
384,19972,14579,18436,17284,22565,15139,23557,24966,14947,11170,39849,27926,35112,41066,160
400,19844,14659,18628,15683,22677,15251,23493,24918,14995,11282,37033,33320,38121,54301,400
400,19476,14659,18436,16948,22693,15267,23653,25014,15075,11282,39769,29367,35208,54701,400
400,19572,14595,18484,17300,22757,15283,23477,25110,15011,11410,35432,44458,44874,55181,528
384,19540,14659,18468,16596,22677,15091,23525,25030,15011,11298,31463,41242,48091,54829,400
400,19812,14579,18564,16724,22533,15299,23477,25062,15059,11154,31415,49067,39977,54845,320
400,19700,14643,18516,16532,22917,15379,23461,25014,15011,11346,28470,48123,41434,55117,320
400,19652,14691,18644,16708,22885,15107,23573,25238,14947,11362,31879,37449,39657,55325,336
400,19764,14659,18612,16564,23125,15139,23461,25222,15043,11218,31143,47019,37401,54829,336
352,19716,14579,18564,16740,22933,15203,23461,24902,15123,11346,26998,56061,47307,54957,304
400,19684,14547,18564,17188,22965,15123,23509,25190,14915,11410,28166,56093,51868,55309,352
384,19828,14611,18532,17060,22981,15107,23461,24886,15107,11330,31271,55837,47243,55213,496
400,20356,14675,18628,17156,22917,15251,23637,25094,15027,11458,38953,53052,46555,55085,336
400,20292,14611,18484,17124,22965,15171,23605,25126,14947,11314,51036,44682,43226,55261,352
400,19972,14499,18676,16003,22917,15235,23429,24934,14979,11410,45595,49035,43802,55149,288
416,20164,14611,18740,12114,22885,15091,23477,25094,14947,11234,46923,51532,39993,55133,400
416,20164,14819,18228,14931,22997,15059,23557,24453,14947,11282,44314,55949,51644,55341,464
400,20164,14755,18068,15091,22965,15155,23461,24662,15043,11282,38841,55805,44298,55261,432
400,20228,14739,18276,14467,22933,15123,23621,24630,15011,11282,38489,55709,42794,55037,384
400,20228,14755,18212,14595,22933,15187,23429,24549,14995,11362,33960,54957,44074,54989,384
400,20116,14739,18132,15251,22757,15123,23701,24565,14915,11394,29239,55693,36937,55021,336
400,20196,14931,18020,15603,22837,15123,23605,24517,15043,11458,30087,55821,42474,55149,400
416,20084,14803,17476,15843,22757,15139,23461,24341,14995,11442,30007,47931,32904,54925,288
336,20244,14739,17892,15843,22805,15283,23477,24165,15171,11410,39129,41754,39177,54925,400
400,20068,14787,17924,15891,22805,15203,23429,24341,15011,11490,47387,41738,44458,55101,512
416,20164,14787,17892,15891,22725,15123,23461,24277,14963,11442,43962,44650,43194,55085,320
400,20020,14883,17908,16035,22677,15187,23461,24037,15155,11394,40537,37129,32808,53645,352
416,20052,14803,17892,16019,22725,15107,23509,24005,15187,11410,35720,48043,31687,55357,336
400,20068,14915,17796,15923,22469,15187,23621,24069,15059,11426,36969,48555,27526,49035,320
400,19684,14739,17908,15875,22453,15251,23541,23909,14979,11394,35928,54349,33896,51436,432
416,20020,14803,17892,16067,22389,15379,23461,23765,15075,11522,32535,53901,38217,53709,400
384,20388,14819,17940,16195,22501,15155,23461,24229,15011,11730,32984,48555,35432,55101,320
400,20260,14787,18004,16179,22485,15395,23685,24373,14915,11666,35752,56029,48571,54893,544
416,20244,14931,17492,16211,22229,15219,23461,23909,15027,11474,37705,55853,50060,54909,336
384,20565,14803,17652,16147,22149,15171,23509,24117,14899,11538,37033,56045,56013,54877,416
368,20420,14835,17572,16211,22533,15331,23477,24149,15011,11666,40921,56157,55789,55357,320
384,20292,14883,17716,16259,21925,15187,23333,24517,14915,11698,38361,56077,56013,55133,512
400,20196,14851,18228,16307,22037,15043,23477,24277,14787,11442,40489,56013,56141,54925,432
400,19860,14803,18340,16179,22037,15155,23093,24453,14627,11346,44106,56125,55981,55101,320
352,20180,14787,18180,16532,22869,15075,23301,24325,14627,11410,47499,55981,55981,54877,448
416,20356,14979,18452,16404,22821,15171,23253,24565,14515,11554,48139,56173,56013,54861,336
400,20404,14755,18548,16516,22869,15235,23397,24517,14563,11442,51276,55773,56205,54941,336
400,20260,14755,18500,16596,22869,15443,23493,24726,14643,11490,42986,56157,56125,55101,480
352,20308,14819,18628,16660,22917,15267,23381,24565,14531,11586,37225,55997,55197,55197,320
400,20228,14771,18596,16548,22885,15507,23493,24565,14595,11650,41146,56125,55933,55197,496
368,20244,14819,18660,16532,22837,15299,23365,24902,14627,11490,40073,56349,56109,55117,432
352,20308,14867,18644,16452,23013,15203,23189,24565,14659,11442,32343,55917,56125,55341,448
384,20308,14851,18516,16436,22725,15235,23461,24421,14467,11410,31815,56317,56013,55069,336
416,20372,14851,18468,16275,22117,15075,23365,24598,14707,11458,37801,55693,56093,54861,336
400,20404,14803,18276,15235,22117,15251,23573,25030,14467,11650,36696,55997,56077,54813,400
352,20485,14995,18404,16291,22405,15459,23429,25078,14499,11618,38505,55741,55997,55117,336
320,20485,14819,18468,16163,22453,15411,23461,24934,14531,11714,43658,55789,55741,54845,416
384,20244,14899,17940,16516,22453,15523,23557,24918,14467,11538,42186,56173,55821,55181,304
384,20356,14851,18164,16452,22581,15395,23861,24918,14419,11602,37337,56045,55949,54877,320
400,20372,14947,18324,16644,22549,15459,23733,24982,14547,11618,36664,56077,56077,55197,304
416,20116,15011,18356,16532,22453,15331,23621,25142,14515,11778,36392,55741,50780,55181,384
400,20020,14851,18516,16596,22485,15555,23733,25062,14627,11730,31191,55901,53533,55245,288
400,20452,14883,18116,16532,22453,15491,23653,25014,14467,11746,34200,56045,54797,54989,432
400,20116,14899,18180,16548,22565,15331,23749,25174,14563,11922,31767,55949,55821,55005,416
336,20132,14851,18116,16404,22261,15379,23733,25046,14547,11826,33704,56093,51532,55309,480
400,20100,14803,18228,16596,22597,15459,23685,25158,14387,11762,30279,55709,43530,54957,416
400,20036,14915,18276,16516,22213,15363,23605,25270,14355,11938,40201,56109,55997,55133,336
400,20180,14835,18244,16660,22021,15443,23765,25078,14371,11858,38729,55757,56237,55117,336
400,20036,14931,18260,16676,23093,15395,23589,24918,14387,11922,48427,56077,56045,55213,528
320,20308,14803,17844,16564,23621,15427,23429,25126,14179,11730,41018,56093,56125,55261,304
400,20180,14803,18036,16323,23509,15395,23525,25046,14163,11778,32663,55869,56093,54893,304
384,20404,14819,18004,16227,23653,15395,23573,25142,14163,11762,30903,55245,55933,52236,416
400,20420,14867,18148,16147,23717,15427,23701,25238,14259,11666,26678,47867,55853,49516,400
400,20661,14867,17380,15779,23573,15523,23733,25174,14211,11746,22549,40185,46875,42458,352
400,20629,15011,17524,15779,23685,15395,23877,25222,14291,11666,21397,55757,47531,49692,336
384,20661,14899,18068,16099,23573,15523,23877,25350,14227,11954,28070,51164,52572,51932,336
400,20549,14915,17828,15651,23637,15459,23669,25542,14211,11842,26038,36873,48219,46731,304
400,20661,14947,17924,15715,23749,15555,23717,25222,14339,11922,29847,49852,43562,49708,336
384,20757,14851,18228,15347,23781,15523,23733,25318,14227,11858,29335,46939,42570,47883,480
416,20581,15027,18148,15747,23733,15411,23845,25190,14259,11986,27606,53677,43914,54925,384
384,20308,14803,17588,15651,23813,15571,23909,25446,14275,11746,29607,54253,51612,54957,400
416,20308,15011,17572,15459,23653,15459,23749,25494,14195,12034,31127,55821,50972,55213,384
352,20517,14915,17748,15315,23381,15443,23781,25238,14259,11970,35800,44378,55901,54317,352
400,20388,15011,17348,14995,23429,15523,23717,25238,14291,11922,29815,55949,55997,55085,416
400,20228,15027,17540,15235,23125,15443,23621,25350,14163,11954,36184,55821,56045,54877,320
400,20436,14883,17604,15267,23557,15635,23749,25414,14371,11826,33416,56029,55837,54941,416
400,20228,14851,18452,15763,23749,15651,23701,25254,14131,11794,47131,56141,55949,55469,480
400,20260,14883,18196,15779,23829,15587,23861,25414,14083,11714,41370,56013,56205,55293,416
400,20276,14963,18084,15795,23845,15571,23797,25414,14035,11442,43642,55757,55773,55117,512
384,20404,15027,18660,15907,24005,15267,23957,25142,13971,11394,50236,56125,56269,55229,480
384,20517,14899,18372,16179,23957,15331,23829,25126,13907,11346,47595,55789,56045,55101,304
416,20501,14995,18452,16548,24117,15363,24085,25414,13987,11394,45115,56157,56045,55277,480
400,20485,15123,18596,16548,24501,15459,24133,25270,14003,11314,38073,53581,56029,55229,336
400,20533,14819,16580,16468,23941,15283,23445,24646,14227,11522,31623,30855,35656,55133,320
400,18916,13443,14899,15107,21029,14691,21829,22853,448,11186,24902,21477,24373,47323,400
352,14755,13219,14771,17108,16644,14403,17236,18516,19348,9378,21941,17700,17284,39049,336
416,13779,12819,10066,16291,13075,14403,14931,16804,24758,10002,22405,17028,17540,31335,400
400,11474,12563,12803,15923,11234,13651,13619,13539,27190,10258,21397,10306,18132,27558,496
400,12114,12002,7393,16484,11058,13475,12675,11458,30007,10434,20196,8177,18132,25222,336
416,12947,11954,10818,14691,8274,12931,11378,10834,31127,10082,18644,8226,17188,23557,512
336,12210,11650,7457,14707,7889,11874,9506,10402,34376,10034,19556,11666,16019,23093,320
416,12627,10434,8530,13619,8177,11522,8514,9794,37289,9026,24806,13699,14739,24197,320
400,12739,9170,7681,11938,7393,11314,7249,8866,38713,8338,24117,14867,13267,24565,416
352,12675,8177,5921,11410,5793,11106,6081,8177,40249,7569,23077,15507,12771,26006,400
448,12579,6881,3120,8498,5633,9810,4721,5153,42010,6385,26614,15875,12210,26838,336
384,12659,4753,1456,7457,5809,8626,4577,3856,43738,4545,23173,16307,10546,25958,272
416,12611,2048,1504,7265,5601,7377,4417,5409,44218,2560,22325,15203,9826,24117,384
400,12963,1936,1744,7217,5889,7089,4369,5185,44314,2288,21637,15571,9650,24037,416
400,12851,2000,2464,7345,6049,6881,4177,5089,44042,1856,17972,15155,9154,22293,400
304,12947,2112,3136,7185,5937,7089,4241,5121,44570,2064,18100,13107,9138,20789,480
400,12499,2528,4609,7201,5425,7041,4145,4241,44570,1952,17380,11282,9698,18948,384
384,12515,2832,4257,7217,6033,7569,4161,5169,44698,2432,16532,10002,10914,18468,352
352,12819,2944,4913,6913,6033,7585,4641,6177,44762,2832,17972,9362,11666,17988,416
416,12739,2720,5201,6945,6577,7665,4769,6257,44634,2864,17620,9218,11954,16852,336
384,13107,2992,5441,7057,6625,7633,4737,6321,44874,2864,16259,9538,12387,17444,352
400,12899,2992,5505,6945,6769,7745,4609,6273,44618,2848,14931,8338,12899,16900,336
384,12899,2896,5601,7169,6561,7841,4593,6241,44762,2944,12723,8017,13283,17524,288
320,12995,2848,5457,7105,6593,7713,4609,6369,44746,2864,12515,8177,13763,17108,336
400,12611,2832,5409,7185,6465,7617,4705,6385,44650,2912,13779,6193,13827,15523,336
400,12723,2944,5585,6913,5649,7553,4865,6689,44618,3248,11826,3264,13875,13891,336
336,12867,3104,6145,8033,7345,8065,5473,7713,44794,4321,14339,14819,14467,15235,384
384,13075,4225,6209,8177,5889,8610,6625,9170,41802,5825,15331,11826,14435,18724,416
384,15043,6337,6401,10786,8177,8706,7265,10338,38713,7761,22053,10722,17428,24630,320
384,16692,9730,7105,11442,8802,10130,8177,11314,32391,8706,25190,11010,17044,22725,464
416,20645,11826,7473,14083,8177,10738,9026,12210,28246,9090,27878,15779,20517,25110,464
400,12595,13027,7937,14003,9682,11426,10754,14019,25734,9506,29479,17188,23365,31367,352
352,19508,13315,9186,17812,10962,11906,14115,15251,23109,9138,37561,16051,26326,31671,384
416,24037,13395,7409,16532,13123,13491,15987,18708,19476,7345,42218,19364,25798,35928,336
416,17108,14659,14867,17796,13731,14083,18324,20965,464,10274,42778,22485,26582,29575,512
384,22229,15075,9442,18244,14323,14131,19124,22165,16323,10242,51532,21717,31719,29495,496
336,21253,15251,14051,17812,14931,14243,19812,21797,15235,11650,48507,25014,37177,36232,432
368,24197,15139,12050,17988,16948,14211,20613,21765,14915,11394,55357,28871,37545,46859,352
416,24565,15011,15987,18372,15331,14243,21125,21557,14579,11458,55949,55869,36392,45595,432
400,23429,15203,15379,18516,17700,14339,21157,22517,13907,11426,51900,55821,49676,54829,336
400,24261,15043,14051,19188,19396,14163,21941,22293,13779,11186,46507,55949,36568,55197,320
384,24565,15299,14163,19044,20404,14179,21845,22453,13731,11074,41322,56077,39129,55245,304
416,24565,15251,15363,19252,20436,14163,21877,22837,13667,11186,38441,56237,34632,49564,384
400,24565,15491,15123,18884,20052,14291,22085,22677,13715,11218,40953,55773,41274,52252,496
416,24565,15171,15379,19188,20517,14339,21909,22357,13619,11330,37081,56093,40409,49051,416
384,24389,15219,14595,19172,19140,14211,21813,22229,13539,11394,40713,55821,45323,54253,304
400,24565,15187,12066,18964,19428,14323,22149,22725,13043,11554,37769,56157,51516,55053,352
400,24421,15171,13379,18820,19716,14211,21845,23301,11554,11394,42202,55773,47563,55053,384
400,24357,15171,11058,19220,18052,14227,22245,24069,2976,11362,48411,56253,55917,54989,320
416,24934,15155,7729,18756,22421,14259,22677,23957,4849,11650,44138,56349,56045,55245,352
336,24886,15219,7057,19028,22357,14211,22677,23845,4961,11650,45499,56349,55773,55117,304
304,24742,15155,11010,19060,22357,14307,22869,23893,5217,11474,36840,55837,55869,55373,336
400,24710,15203,10050,19188,22053,14179,22997,24117,5009,11618,36168,55629,55741,55245,416
400,24758,15299,10338,19092,21701,14259,22965,24117,3824,11570,35944,56093,55821,55245,400
496,24838,15091,11410,18612,21541,14163,22741,24037,5649,11522,30631,55981,56301,55037,320
416,24886,15155,10914,18708,21925,14355,22821,24117,7265,11570,34120,56205,56109,55117,336
480,24758,15187,13203,18884,21717,14435,23077,24197,8033,11666,29479,56125,55213,54989,336
400,25046,15299,10242,18644,21029,14083,23077,24421,8177,11730,32551,55789,49372,55325,352
400,24982,15411,9362,18948,21893,14371,22949,24277,8610,11650,33112,56141,44586,55133,416
400,25270,15251,9154,18660,21765,14275,22965,24373,7137,11810,29911,56381,44202,54989,432
352,25238,15139,11330,18900,22373,14291,22965,24261,11058,11650,32391,55757,52220,54925,384
400,24854,15283,11986,18980,22533,14355,22965,24373,10946,11746,38169,55645,51260,55085,304
384,24662,15299,11522,19028,22501,14291,23077,24245,11186,11730,45419,43690,43674,55133,304
384,24838,15091,10834,18836,22501,14307,23013,24421,11106,11778,55917,56109,49051,55181,384
320,26166,14899,11426,18708,22197,14259,23109,24614,11330,11682,55965,44474,50588,54893,352
352,26502,15331,12819,19364,21845,14339,23061,24565,11330,11714,45547,55773,50492,55053,384
400,26598,15315,12883,19492,22149,14259,23189,24678,11522,11826,38457,56333,42170,54989,480
352,26534,15363,13123,19492,21973,14259,23141,24549,11538,11794,49468,55821,39705,55101,464
384,26502,15443,14179,19636,22085,14275,23221,24565,11506,11794,41322,55773,43018,55357,416
400,26518,15139,13059,19716,22117,14387,23381,24549,11426,11858,36088,56141,46235,55213,384
336,26454,14963,13987,19796,22277,14387,23141,24582,11490,11858,36536,56237,40393,54829,352
464,26246,15011,14163,19780,22277,14371,23301,24630,11538,11874,33720,55357,41914,49356,416
400,25862,14691,14499,19844,22437,14355,23141,24774,11586,11778,28839,43194,36808,44394,320
352,26006,14883,14515,19764,21413,14307,23093,24293,11538,11330,22901,32359,27190,37433,400
384,25158,15411,15539,19732,21445,14467,22453,23189,7777,10898,20004,19380,19732,32391,320
400,24133,14691,14915,18404,21685,13955,20773,22149,480,11394,17956,12595,15203,26518,304
400,21333,14595,14819,18244,15651,14035,17508,21157,432,9762,17332,10258,12643,22533,480
416,19604,14339,16179,17300,16468,13603,16580,20773,17220,8738,13747,8145,10706,18756,352
400,12979,14003,7425,16083,14611,12947,14755,17812,19604,10050,12242,7905,9826,15827,320
400,16740,13651,7345,13603,13027,12867,12995,16051,23525,9890,13027,9746,9234,14595,320
400,16291,13571,9778,13763,12851,12739,12242,14611,25910,10050,13059,12371,8770,14291,336
384,15235,13459,9986,14371,11090,11650,11570,11618,28326,9762,12835,15379,8626,14083,416
400,14867,13155,8978,13075,11170,10690,10642,10002,30919,9282,14275,18628,9426,14755,304
384,13763,12579,7473,11778,10882,10386,10562,9458,32279,9266,13139,19748,10626,14803,400
400,14531,11810,8033,11346,9986,10434,9666,8882,33176,8338,14259,19780,10770,15619,304
384,14467,11218,6577,10514,9986,10258,9330,8177,34216,8210,14403,20436,11026,15667,336
416,14643,10706,6913,9186,9474,9522,8386,7841,34488,7521,16900,20100,11650,17076,512
384,17044,8498,6017,8177,8866,7745,7585,7073,35928,5937,20805,19524,12355,20420,336
400,17508,6865,6849,8177,6673,6561,7153,2032,38745,4129,20501,16195,13043,22869,400
400,17380,5713,6033,7537,7313,5441,6817,4305,40905,2656,20372,14675,13635,25542,352
320,16804,3968,7393,6289,7633,4657,6561,2800,41962,1232,18020,13971,13731,26918,352
400,17172,3072,7825,5793,7297,3872,6193,2720,43578,416,16211,11698,14275,28983,336
400,17316,2816,7921,5521,7217,3744,6193,2544,44442,384,16179,13411,14355,27670,400
288,17412,2016,7969,5857,6993,3744,6369,2464,44490,288,14067,18052,14883,28486,352
304,17204,1968,8065,5825,7169,3840,6161,2512,44426,256,14035,22245,15667,27958,368
416,17188,1920,7953,6081,7185,4113,6241,2480,44378,208,13507,26182,16580,26262,304
400,16868,1984,8033,6017,7425,4641,6193,2496,44634,384,11554,31783,16980,24806,528
384,17044,2224,8097,5889,7777,5329,6289,3696,44778,1552,14851,36873,17828,22981,320
416,17156,2880,8177,5633,7345,6401,6513,5633,44586,3760,15875,40953,20436,23957,336
400,16916,5153,8113,7777,6753,7985,6657,7329,38553,5697,16804,48459,20244,26150,304
416,17604,8097,8129,8930,6801,9154,7233,8386,34888,8418,17428,49404,21765,23013,512
400,19652,9154,6689,11730,7009,10290,8258,10034,34344,9298,16019,49644,23509,22725,416
352,20965,9586,6385,13779,9250,10722,10530,11138,28342,9394,18596,49596,22421,25542,384
416,20645,9906,9954,14995,11282,10786,13219,12242,26278,9554,18980,47643,22933,30695,288
384,20228,10146,9714,16868,12931,11794,15811,14275,25846,8706,22101,48139,24533,32920,320
368,20068,11938,14531,17156,13987,12595,18340,17380,20501,7825,26390,46059,27206,37785,384
400,20949,12307,15683,16980,15715,13363,19508,18868,480,8882,31687,46523,32679,38249,384
416,21973,12883,14739,18580,16580,13747,20949,20244,16339,10002,33240,48203,34376,40665,320
400,21317,13395,16388,18308,18084,14051,22181,21845,14947,11298,36905,40105,40745,40713,544
400,21509,14131,12931,18756,19476,13907,22965,22677,14627,11314,40986,38361,38073,40425,400
400,21669,14275,19028,18644,19556,13907,23525,23077,14259,11698,38025,43434,40249,40265,336
400,21557,14179,19972,18852,17348,13891,23733,23237,14227,11810,35864,45643,44058,54317,288
400,21557,14499,20629,18852,17764,14243,23733,23445,13971,11618,35688,54189,55629,55149,384
416,21605,14483,20436,18772,19428,14195,23973,23973,13907,11666,31623,40489,56077,54925,384
480,21397,14467,20116,19012,22005,14291,23973,24117,13827,11506,31127,40281,52156,54445,480
416,21797,14419,20004,18996,22165,14291,24229,24181,13891,11570,30551,38361,46427,54845,464
416,21125,14627,19828,19268,22309,14259,24101,24277,13907,11538,33464,40953,44650,54973,528
400,21605,14531,20036,19124,22453,14339,24133,24261,13843,11554,33896,33016,41562,49772,336
416,21429,14483,20180,18868,22437,14275,24133,24309,13859,11682,36600,31671,39785,48939,336
400,21829,14483,20276,19012,21445,14435,24133,24277,13955,11538,32167,30791,38713,47979,336
400,21413,14515,20661,18644,20965,14323,24229,24565,13891,11602,30855,30807,32952,48555,384
384,21589,14515,20581,18916,21829,14307,24341,24357,13875,11570,27494,27254,32247,47531,336
416,21285,14563,20693,18788,21861,14355,24197,24517,13859,11714,27222,32551,32872,49868,352
400,19460,14563,20436,18852,21733,14227,23989,24405,13891,11538,28566,40009,44506,55069,336
336,21893,14675,20420,18596,21765,14435,24021,24565,13843,11554,28502,38841,42378,54861,368
384,22101,14659,18468,18980,21813,14227,24245,24421,13779,11538,28839,37449,42170,52380,336
400,21733,14659,17444,19076,22149,14371,24373,24325,13923,11586,30727,32856,47819,50796,512
416,21477,14371,16003,18916,20276,14291,23877,24453,14003,11394,32824,43274,55981,54989,416
416,21781,14563,11714,18692,21525,14243,23093,24565,13827,11426,27398,27366,40153,42058,432
416,21717,14307,13139,18740,20741,14291,23157,24565,14035,11714,28839,22901,31831,38553,384
352,21029,13651,13699,18500,18340,14163,21205,22741,14819,11394,34360,20853,29639,35608,384
416,20821,13731,9618,18452,16612,14243,19844,21397,15747,11442,35800,16516,31127,38329,480
400,21733,13811,14499,18852,16580,14195,19124,21701,16099,11410,38409,16612,31415,41354,384
320,23701,14323,15811,18548,16836,14387,19396,21589,16099,11410,38265,17796,36953,37001,416
400,24565,14419,16612,19044,17076,14419,19092,21733,15987,11522,52732,16916,38793,38937,416
384,24453,14659,16211,19124,16996,14419,19668,21813,15779,11394,55885,17172,40633,46763,432
384,24501,15011,15251,18852,16916,14403,20004,21973,15603,11586,55725,16964,40585,44794,400
384,24357,14995,14195,19028,16804,14275,20308,21909,15443,11538,56125,18820,39129,40585,320
384,24501,14995,10210,19316,15875,14419,20276,21957,15395,11554,55773,20581,36168,36937,304
416,24565,14771,12531,19332,16436,14403,20436,22181,15363,11682,55949,20164,40521,37513,336
416,24453,14947,13107,19380,16708,14339,20629,22197,15411,11538,50764,24982,39129,35016,464
400,24614,14947,13571,19124,16131,14291,20404,22085,15427,11458,47851,27478,39689,40986,464
352,24565,14947,13107,19204,15891,14227,20148,22213,15459,11554,40585,20116,40649,39257,480
400,24549,14995,15235,19300,16868,14371,20356,22165,15491,11426,38601,31367,40953,46619,320
384,24485,14867,14435,19172,17092,14419,20436,22037,15315,11442,44266,32776,38473,42586,336
352,24469,14979,13219,19364,17092,14243,20533,22101,15155,11442,40521,23973,35848,38345,288
416,24421,14851,11154,19076,16788,14227,20565,22117,14979,11554,38185,22069,35848,34024,336
400,24565,14899,11746,19028,17796,14243,20869,22293,14915,11410,36728,20517,33480,33336,320
352,24533,15139,11730,19028,17156,14307,20485,22069,14915,11586,36440,21221,30775,33224,384
368,24293,14947,12258,19076,17108,14227,20693,22165,14803,11410,43242,20581,34856,39481,304
368,23765,14931,17012,18932,18132,14227,20965,21957,14915,11410,37273,20757,34216,38985,304
352,23093,14915,16836,19236,17860,14259,20789,21605,14931,11490,37161,24790,30743,39577,432
320,23333,15059,17204,18884,18228,14243,21061,21669,14611,11442,36824,20805,26214,37865,400
400,24069,14947,15923,18772,18564,14275,21269,21605,14579,11474,39721,23125,26934,32840,304
320,24197,15155,16676,19028,18740,14259,21157,22037,14739,11394,38713,17332,28743,31719,400
512,24886,15107,16980,18852,19044,14291,21317,22357,14563,11410,34072,21173,29399,33688,352
400,24774,15075,17220,18900,18884,14227,21189,22053,14499,11346,26374,19332,28006,33336,528
352,24790,15107,16484,18964,19252,14371,21285,22325,14643,11298,20533,11794,25142,30103,512
400,24469,14659,12387,18804,18932,14019,20741,22341,14659,11522,17956,7505,22421,30679,480
352,22405,13987,15555,18916,15923,13955,19540,21429,496,10754,15043,6113,21061,31319,416
336,19108,13187,14851,18484,17108,13635,18820,21557,480,9314,14483,6753,19124,31895,352
416,13203,12499,14867,16708,15523,12819,17412,16900,18836,9378,13827,9778,14947,33608,416
400,11890,11666,10658,16772,14179,12323,15139,14467,22197,9986,14387,10130,13043,34952,336
400,13075,11954,9442,13955,12419,11746,13603,11538,24966,9682,15827,9634,12178,34888,464
336,14691,11810,9730,14003,12194,10306,12755,9698,26870,8946,14227,10802,12066,33768,528
416,14659,11826,6625,13123,11522,10002,12066,8001,28118,8033,16211,9970,12258,32952,336
384,14515,11714,7553,11458,10994,9746,11266,7345,28662,7713,16195,9698,12755,32135,528
416,12194,11346,7457,9986,9762,9554,10610,1600,29655,7169,17044,10546,12899,30871,320
416,13987,11218,8017,11538,10786,9970,10562,7873,29719,8177,18628,7633,14419,30247,288
400,14995,11554,8081,13507,10306,10674,11602,10834,29335,8802,21733,10898,22933,36632,400
432,17684,11794,8177,16516,11474,11650,13507,13251,26502,9634,29639,8882,23317,35048,480
416,19556,12499,8642,16836,13347,12931,14995,15811,23125,8754,27862,10578,28342,34360,320
352,19684,13331,9698,15075,13971,13699,17300,18628,19604,9810,27494,14883,31447,45499,352
